id	go_source	resource	current_behavior	rust_owner	cancellation_shutdown	unresolved
OWN-034	backend-go/pkg/api/websocket/agent_streaming.go	agent stream	single receiver;blocks read loop	owned forwarding task	cancel, unsubscribe, replacement, or terminal joins	intentional lifecycle correction keeps reads cancellation-aware
OWN-035	backend-go/pkg/core/worker/manager.go	globalManager	unsynchronized mutable global	bootstrap Arc<WorkerManager>	Application task owner	remove global
OWN-036	backend-go/pkg/core/worker/status.go	globalStatusService	sync.Once process global	bootstrap Arc<StatusService>drop final sender last	remove test state leak
OWN-037	backend-go/pkg/core/worker/status.go	status maps	RWMutex;broadcast while locked	short lock+tokio broadcast	no await under lock	lag resync policy explicit
OWN-038	backend-go/pkg/core/worker/status.go	subscriber	buffer100;drop update for full	broadcast cap100+snapshot	drop receiver unsubscribes	verify drop-newest vs lag
OWN-039	backend-go/pkg/core/worker/manager.go	running workers	check then detached insert allows duplicates	atomic map claim+JoinHandle	cancel and join	duplicate start defect fixed
OWN-040	backend-go/pkg/core/worker/manager.go	cron	started with no schedules	Application optional scheduler	disabled default;join30s	trial-dependent scheduler
OWN-041	backend-go/pkg/core/worker/manager.go	manual goroutines	detached;only CancelFunc stored	WorkerManager JoinSet	cancel and join all	Go stop may not await
OWN-042	backend-go/pkg/core/worker/manager.go	task-run finalization	background ctx;discarded errors	worker-owned grace token	bounded durable attempt	retry/timeout needs decision
OWN-043	backend-go/pkg/core/worker/crawler.go	CrawlWorker	clients/services/repos from globals	injected Arc ports	run token reaches DB/HTTP	provider requests currently ignore ctx
OWN-044	backend-go/pkg/core/worker/discovery.go	DiscoveryWorker	Exa+service;repo from global	injected ports	run token cancels	remove env/global reads
OWN-045	backend-go/pkg/core/worker/insight_generator.go	InsightWorker	optional provider failure silently skipped	injected optional configured port	run token cancels	invalid configured provider fails startup
OWN-046	backend-go/pkg/core/worker/pipeline.go	PipelineWorker	manager back-pointer;buffer100 status	Weak manager command handle	parent cancels child;join	avoid Arc cycle;verify missed status
OWN-047	backend-go/pkg/core/taskrun/context.go	Tracker	context value service+run UUID	typed TaskRunTracker	explicit caller token	no global/service locator
