id	domain	method	path	auth	request	response_status_shape	omission_null_rules	frontend_consumers	swagger	classification
HTTP-037	datasource	PUT	/data-sources/{id}	Bearer JWT	DataSourceUpdateRequest	200 DataSourceResponse;400;401;404;500	per runtime DTO	frontend/src/services/dataSources.ts	missing	active-contract
HTTP-038	datasource	DELETE	/data-sources/{id}	Bearer JWT	path UUID	200 {success};400;401;404;500	exact object	frontend/src/services/dataSources.ts	missing	active-contract
HTTP-039	datasource	POST	/data-sources/{id}/crawl	Bearer JWT	path UUID	200 {success,message};400;401;404;500	exact object	frontend/src/services/dataSources.ts	missing	active-contract
HTTP-040	datasource	GET	/data-sources/{id}/content	Bearer JWT	path UUID;page;limit	200 {contents,total};400;401;404;500	exact object	frontend/src/services/dataSources.ts	missing	active-contract
HTTP-041	insight	GET	/insights	Bearer JWT	filters;pagination	200 {insights,total};401;500	insight behavior nonblocking only	frontend/src/services/insights.ts	missing	active-contract
HTTP-042	insight	GET	/insights/search	Bearer JWT	q required;limit	200 []InsightResponse;400;401;500	empty list vs null preserved	frontend/src/services/insights.ts	missing	active-contract
HTTP-043	insight	GET	/insights/unread-count	Bearer JWT	-	200 {count};401;500	exact object	frontend/src/services/insights.ts	missing	active-contract
HTTP-044	insight	GET	/insights/topics	Bearer JWT	-	200 []InsightTopicResponse;401;500	empty list vs null preserved	frontend/src/services/insights.ts	missing	active-contract
HTTP-045	insight	POST	/insights/topics	Bearer JWT	InsightTopicCreateRequest	201 InsightTopicResponse;400;401;500	per runtime DTO	frontend/src/services/insights.ts	missing	active-contract
HTTP-046	insight	GET	/insights/topics/{id}	Bearer JWT	path UUID	200 InsightTopicResponse;400;401;404;500	per runtime DTO	frontend/src/services/insights.ts	missing	active-contract
HTTP-047	insight	PUT	/insights/topics/{id}	Bearer JWT	InsightTopicUpdateRequest	200 InsightTopicResponse;400;401;404;500	per runtime DTO	frontend/src/services/insights.ts	missing	active-contract
HTTP-048	insight	DELETE	/insights/topics/{id}	Bearer JWT	path UUID	200 {success};400;401;404;500	exact object	frontend/src/services/insights.ts	missing	active-contract
HTTP-049	insight	GET	/insights/content/search	Bearer JWT	q required;limit	200 []CrawledContentResponse;400;401;500	empty list vs null preserved	frontend/src/services/insights.ts	missing	active-contract
HTTP-050	insight	GET	/insights/content/recent	Bearer JWT	limit	200 []CrawledContentResponse;401;500	empty list vs null preserved	frontend/src/services/insights.ts	missing	active-contract
HTTP-051	insight	GET	/insights/{id}	Bearer JWT	path UUID	200 InsightWithSources;400;401;404;500	per runtime DTO	frontend/src/services/insights.ts	missing	active-contract
HTTP-052	insight	DELETE	/insights/{id}	Bearer JWT	path UUID	200 {success};400;401;404;500	exact object	frontend/src/services/insights.ts	missing	active-contract
HTTP-053	insight	POST	/insights/{id}/read	Bearer JWT	path UUID	200 {success};400;401;404;500	exact object	frontend/src/services/insights.ts	missing	active-contract
HTTP-054	insight	POST	/insights/{id}/pin	Bearer JWT	path UUID	200 {success,is_pinned};400;401;404;500	exact object	frontend/src/services/insights.ts	missing	active-contract
HTTP-055	organization	GET	/organizations	Bearer JWT	-	200 organizations;401;500	runtime protected despite Swagger	frontend/src/services/organization.ts	covered	active-contract
HTTP-056	organization	POST	/organizations	Bearer JWT	types.OrganizationCreateRequest	201 organization;400;401;500	runtime DTO/social_links map	frontend/src/services/organization.ts	covered	active-contract
HTTP-057	organization	GET	/organizations/{id}	Bearer JWT	path UUID	200 organization;400;401;404;500	runtime protected despite Swagger	frontend/src/services/organization.ts	covered	active-contract
HTTP-058	organization	PUT	/organizations/{id}	Bearer JWT	types.OrganizationUpdateRequest	200 organization;400;401;404;500	runtime DTO	frontend/src/services/organization.ts	covered	active-contract
HTTP-059	organization	DELETE	/organizations/{id}	Bearer JWT	path UUID	200 {success};400;401;404;500	exact object	frontend/src/services/organization.ts	covered	active-contract
HTTP-060	organization	POST	/organizations/{id}/join	Bearer JWT	path UUID	200 {success};400;401;404;500	exact object	frontend/src/services/organization.ts	covered	active-contract
HTTP-061	organization	POST	/organizations/leave	Bearer JWT	-	200 {success};401;500	exact object	frontend/src/services/organization.ts	covered	active-contract
HTTP-062	page	GET	/pages/{slug}	public	path slug	200 page;400;404;500	per runtime DTO	frontend/src/services/pages.ts;frontend/src/services/user.ts	covered	active-contract
HTTP-063	page	GET	/dashboard/pages	Bearer JWT	page;perPage;isPublished	200 page list;401;500	per runtime DTO	frontend/src/services/pages.ts	covered	active-contract
HTTP-064	page	GET	/dashboard/pages/{id}	Bearer JWT	path UUID	200 page;400;401;404;500	per runtime DTO	frontend/src/services/pages.ts	covered	active-contract
HTTP-065	page	POST	/dashboard/pages	Bearer JWT	types.PageCreateRequest	201 page;400;401;500	runtime includes description/image_url/meta_data	frontend/src/services/pages.ts	covered	active-contract
HTTP-066	page	PUT	/dashboard/pages/{id}	Bearer JWT	types.PageUpdateRequest	200 page;400;401;404;500	runtime update has no slug	frontend/src/services/pages.ts	covered	active-contract
HTTP-067	page	DELETE	/dashboard/pages/{id}	Bearer JWT	path UUID	200 {success};400;401;404;500	exact object	frontend/src/services/pages.ts	covered	active-contract
HTTP-068	profile	GET	/profile/public	public	-	200 profile;500	per runtime DTO	frontend/src/services/profile.ts	covered	active-contract
HTTP-069	profile	GET	/profile	Bearer JWT	-	200 profile;401;500	per runtime DTO	frontend/src/services/profile.ts	covered	active-contract
HTTP-070	profile	PUT	/profile	Bearer JWT	ProfileUpdateRequest	200 profile;400;401;500	per runtime DTO	frontend/src/services/profile.ts	covered	active-contract
HTTP-071	profile	GET	/profile/settings	Bearer JWT	-	200 settings;401;500	runtime protected despite Swagger	frontend/src/services/profile.ts	covered	active-contract
HTTP-072	profile	PUT	/profile/settings	Bearer JWT+admin	SiteSettingsUpdateRequest	200 settings;400;401;403;500	admin check in handler	frontend/src/services/profile.ts	covered	active-contract
HTTP-073	project	GET	/projects	public	page;perPage	200 {projects,total,current_page,per_page};500	runtime omits total_pages	frontend/src/services/projects.ts	covered	active-contract
HTTP-074	project	GET	/projects/{id}	public	path UUID	200 {project,tags};400;404;500	nested runtime shape	frontend/src/services/projects.ts	covered	active-contract
HTTP-075	project	POST	/projects	Bearer JWT	core.project.CreateRequest	201 project;400;401;500	runtime validation	frontend/src/services/projects.ts	covered	active-contract
HTTP-076	project	PUT	/projects/{id}	Bearer JWT	core.project.UpdateRequest	200 project;400;401;404;500	runtime validation	frontend/src/services/projects.ts	covered	active-contract
HTTP-077	project	DELETE	/projects/{id}	Bearer JWT	path UUID	200 {success};400;401;404;500	exact object	frontend/src/services/projects.ts	covered	active-contract
HTTP-078	source	GET	/dashboard/sources	Bearer JWT	page;limit	200 {sources,total_pages,page};401;500	exact runtime shape	frontend/src/services/sources.ts	covered	active-contract
HTTP-079	source	POST	/sources	Bearer JWT	core.source.CreateRequest	201 source;400;401;500	runtime DTO	frontend/src/services/sources.ts	covered	active-contract
HTTP-080	source	POST	/sources/scrape	Bearer JWT	{article_id:UUID,url:string}	201 source;400;401;500	exact snake_case article_id	frontend/src/services/sources.ts	covered	active-contract
HTTP-081	source	GET	/sources/article/{articleId}	Bearer JWT	path UUID	200 {sources};400;401;500	exact object	frontend/src/services/sources.ts	covered	active-contract
HTTP-082	source	GET	/sources/article/{articleId}/search	Bearer JWT	path UUID;q required;limit=5	200 {sources,query};400;401;500	exact object	frontend/src/services/sources.ts	covered	active-contract
HTTP-083	source	GET	/sources/{sourceId}	Bearer JWT	path UUID	200 source;400;401;404;500	per runtime DTO	frontend/src/services/sources.ts	covered	active-contract
HTTP-084	source	PUT	/sources/{sourceId}	Bearer JWT	core.source.UpdateRequest	200 source;400;401;404;500	runtime DTO	frontend/src/services/sources.ts	covered	active-contract
HTTP-085	source	DELETE	/sources/{sourceId}	Bearer JWT	path UUID	200 {success};400;401;404;500	exact object	frontend/src/services/sources.ts	covered	active-contract
HTTP-086	storage	GET	/storage/files	Bearer JWT	prefix	200 files;401;500	per runtime adapter	frontend/src/services/storage/index.ts	covered	active-contract
HTTP-087	storage	POST	/storage/upload	Bearer JWT	multipart key+file	200 {success,url,key};400;401;500	multipart limits pending fixture	frontend/src/services/storage/index.ts	covered	active-contract
HTTP-088	storage	DELETE	/storage/{key}	Bearer JWT	path key	200 {success};400;401;500	exact object	frontend/src/services/storage/index.ts	covered	active-contract
HTTP-089	storage	POST	/storage/folders	Bearer JWT	CreateFolderRequest	200 {success};400;401;500	exact object	frontend/src/services/storage/index.ts	covered	active-contract
HTTP-090	storage	PUT	/storage/folders	Bearer JWT	UpdateFolderRequest	200 {success};400;401;500	exact object	frontend/src/services/storage/index.ts	covered	active-contract
HTTP-091	taskrun	GET	/task-runs	Bearer JWT	task_name;status;kind;limit=50	200 TaskRunListResponse;401;500	per runtime DTO	frontend/src/services/taskRuns.ts	missing	active-contract
HTTP-092	taskrun	GET	/task-runs/{id}	Bearer JWT	path UUID	200 TaskRunDetailResponse;400;401;404;500	per runtime DTO	frontend/src/services/taskRuns.ts	missing	active-contract
HTTP-093	taskrun	GET	/task-runs/{id}/events	Bearer JWT	path UUID	200 {events};400;401;404;500	empty list vs null preserved	-	missing	active-contract
HTTP-094	worker	GET	/workers/status	Bearer JWT	-	200 AllWorkersStatusResponse;401	per runtime DTO	frontend/src/services/workers.ts	missing	active-contract
HTTP-095	worker	GET	/workers/running	Bearer JWT	-	200 {workers:[]string};401	empty list vs null preserved	frontend/src/services/workers.ts	missing	active-contract
HTTP-096	worker	GET	/workers/{name}/status	Bearer JWT	path name	200 WorkerStatusResponse;401;404	per runtime DTO	frontend/src/services/workers.ts	missing	active-contract
HTTP-097	worker	POST	/workers/{name}/run	Bearer JWT	path name	200 {started,message};400;401;404	exact object	frontend/src/services/workers.ts	missing	active-contract
HTTP-098	worker	POST	/workers/{name}/stop	Bearer JWT	path name	200 {stopped,message};400;401;404	exact object	frontend/src/services/workers.ts	missing	active-contract
WS-002	websocket	C->S	subscribe-request	upgraded	{action:"subscribe",requestId:nonempty,channel:""}	-	malformed or missing requestId silently ignored	Editor.tsx;use-session.ts	n/a	active-contract
WS-003	websocket	S->C	request-missing	upgraded	-	{requestId,type:"error",error:"Request not found",done:true}	exact terminal frame	Editor.tsx	n/a	active-contract
WS-004	websocket	S->C	agent-stream	upgraded	-	copilot.StreamResponse	server overwrites requestId;terminal on done/error	Editor.tsx	n/a	active-contract
WS-005	websocket	C->S	subscribe-worker	upgraded	{action:"subscribe",channel:"worker-status"}	-	exact channel	use-worker-statuses.ts	n/a	active-contract
WS-006	websocket	S->C	worker-ack	upgraded	-	{type:"subscribed",channel:"worker-status"}	no timestamp	use-worker-statuses.ts	n/a	active-contract
WS-007	websocket	S->C	worker-status	upgraded	-	{type:"worker-status",worker_name,status,timestamp?}	initial omits timestamp and task_run_id;updates include timestamp	use-worker-statuses.ts	n/a	active-contract
WS-008	websocket	C->S	unsubscribe-worker	upgraded	{action:"unsubscribe",channel:"worker-status"}	-	no ack	use-worker-statuses.ts	n/a	active-contract
UNRESOLVED-001	frontend	POST	/images/generate	Bearer JWT	frontend request	none registered	-	frontend/src/components/blog/Editor.tsx	absent	missing-implementation
UNRESOLVED-002	frontend	GET	/images/{requestId}	Bearer JWT	path	none registered	-	frontend ImageLoader consumers	absent	missing-implementation
UNRESOLVED-003	frontend	GET	/images/{requestId}/status	Bearer JWT	path	none registered	-	frontend ImageLoader consumers	absent	missing-implementation
UNRESOLVED-004	frontend	PUT	/blog/articles/{id}/context	Bearer JWT	frontend request	none registered	overlaps live PUT /blog/{id}/update	frontend/src/components/blog/Editor.tsx	absent	missing-implementation
UNRESOLVED-005	frontend	GET	/auth/session	unknown	-	none registered	-	frontend export only	absent	dead-consumer
UNRESOLVED-006	frontend	POST	/auth/refresh	unknown	-	none registered	-	frontend export only	absent	dead-consumer
UNRESOLVED-007	frontend	GET	/auth/me	unknown	-	none registered	-	frontend export only	absent	dead-consumer
UNRESOLVED-008	frontend	GET	/blog/{id}/chat-history	unknown	path	none registered	-	frontend export only	absent	dead-consumer
UNRESOLVED-009	frontend	PUT	/pages/contact-me	unknown	body	none registered	conflicts path with GET /pages/{slug}	frontend export only	absent	dead-consumer
UNRESOLVED-010	frontend	PUT	/pages/about-me	unknown	body	none registered	conflicts path with GET /pages/{slug}	frontend export only	absent	dead-consumer
